"review_id","title","body","pros","cons","rating","date","role","location","employmentStatus","_source"
"102904483","QA AUTOMATION TESTING","QA AUTOMATION TESTING","Good environment to work Learning opportunities Team help","Less hike Not much appreciation","5.0","2026-02-21T02:14:18.403","Current employee - Software Tester","Chennai","REGULAR","next_f"
"102904143","Good opportunities but not employee friendly","Good opportunities but not employee friendly","Good onsite opportunity Good projects Good learning through trainings and certifications","Employees are just another resource to them Managers are the least competent and doesnt stand with their team observed in most of the projects","3.0","2026-02-21T00:58:26.293","Current employee","Unknown location","REGULAR","next_f"
"102902842","Worst","Worst","There were be somewhat job security","Everything is a Cons here","1.0","2026-02-20T19:56:12.973","Current employee - Systems Engineer","Bhubaneshwar","REGULAR","next_f"
"102900962","Good company to work for","Good company to work for","Fair employment policies; after contract was cancelled they paid me while waiting to place me in a new position. Got to train some of their remote employees.","Much general training was mandatory; some overtime late at night for managing the servers in the office.","4.0","2026-02-20T14:37:32.550","Former employee - Deskside Support Technician","Stamford, CT","REGULAR","next_f"
"102900517","Something is better than nothing","Something is better than nothing","Gets opportunity to enter into company You can convert to higher role by giving internal exams","Exposure and opportunity to learn","5.0","2026-02-20T13:49:15.897","Current employee - Assistant Systems Engineer","Mumbai","REGULAR","next_f"
"102899995","Chill work","Chill work","Chill work and good wl balance","No learning and stagnant growth","3.0","2026-02-20T12:59:41.233","Current employee - Software Engineer","Pune","REGULAR","next_f"
"102898199","No such benefits limited growth","No such benefits limited growth","No such pros to mention","No promotion no increment no proper opportunity","1.0","2026-02-20T10:03:44.170","Current employee - Data Engineer","Bengaluru","REGULAR","next_f"
"102898052","Good company","Good company","- High focus on talent development","nothing as such , Good company","4.0","2026-02-20T09:53:45.423","Former employee - Associate Consultant","Noida","REGULAR","next_f"
"102897949",".",".","Work life balance is good","No hike given and no promotion","3.0","2026-02-20T09:46:25.647","Current employee","Unknown location","REGULAR","next_f"
"102897848","Work life","Work life","Nothing such that can be mentioned","Most of the task was monotonous and management not so good","1.0","2026-02-20T09:38:19.287","Former employee - Systems Engineer","Calcutta","REGULAR","next_f"
"102897456","Great work experience","Great work experience","- Good working experience - Everything depends on the project.","- Less interaction with Managers","4.0","2026-02-20T09:02:54.133","Current employee - IT Analyst","Bengaluru","REGULAR","next_f"
"102897295","Systems Engineer salary","Systems Engineer salary","Good structure for employees and a good environment for learning","limited hike and low career growth","3.0","2026-02-20T08:51:54.080","Current employee - Systems Engineer","HyderÄbÄd","REGULAR","next_f"
"102896843","Software Engineer","Software Engineer","The culture they followed is awesome","The increment will be of lesser","4.0","2026-02-20T08:13:55.703","Former employee - Software Development Engineer (SDE)","Bengaluru","REGULAR","next_f"
"102896731","Junior Software Engineer","Junior Software Engineer","Good work life balance and chill.","Not much work was provided.","3.0","2026-02-20T08:02:23.780","Former employee - Software Engineer","San Antonio, TX","REGULAR","next_f"
"102896718","NA","NA","As per current situation no Pros is left. Job security also not there.","Low Salary. 5 Day WFO. No work life balance left.","1.0","2026-02-20T08:01:01.370","Former employee - Systems Engineer","Pune","REGULAR","next_f"
